Nr.;Datum;Zeit;P.Zeit;AV Pyro top;AV Control TC;AV Piston TC Top;AV Piston TC Bot;AV Transformer T;SV Temperature  ;AV CZ Output;AV abs. pressure;Vacuum;AV rel. pressure;SV Rel. Pressure;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;Power;U RMS;I RMS
;;;;°C;°C;°C;°C;°C;°C    ;%;mbar(a;mbar(a;mbar(g;mbar(g;kN    ;kN;mm;mm;mm/min;kW;V;kA
1;08.08.2023;15:13:41;00:00:00;250,0;20,3;19,5;18,6;19,9;20,0;0,0;999,9;1,00E3;-5,8;20,00;3,0;3,0;38,78;0,01;-0,004;0,0;0,00;0,049
2;08.08.2023;15:13:42;00:00:01;250,0;20,3;19,5;18,6;19,8;20,0;0,0;999,9;1,00E3;-5,8;20,00;3,0;3,0;38,78;0,01;-0,004;0,0;0,01;0,049
3;08.08.2023;15:13:43;00:00:02;250,0;20,3;19,5;18,6;19,8;20,0;0,0;999,8;1,00E3;-5,8;20,00;3,0;3,0;38,78;0,01;0,001;0,0;0,00;0,049
4;08.08.2023;15:13:44;00:00:03;250,0;20,2;19,5;18,6;19,8;20,0;0,0;999,9;1,00E3;-5,8;20,00;3,0;3,0;38,78;0,01;0,002;0,0;0,00;0,049
5;08.08.2023;15:13:45;00:00:04;250,0;20,2;19,5;18,6;19,8;20,0;0,0;999,8;1,00E3;-5,8;20,00;3,0;3,0;38,78;0,01;0,001;0,0;0,00;0,049
6;08.08.2023;15:13:46;00:00:05;250,0;20,1;19,5;18,6;19,8;20,0;0,0;999,8;1,00E3;-5,8;20,00;3,0;3,0;38,78;0,01;0,002;0,0;0,01;0,049
7;08.08.2023;15:13:47;00:00:06;250,0;20,0;19,5;18,6;19,8;20,0;0,0;999,8;1,00E3;-5,8;20,00;3,0;3,0;38,78;0,02;0,001;0,0;0,00;0,049
8;08.08.2023;15:13:48;00:00:07;250,0;20,0;19,5;18,6;19,8;20,0;0,0;999,8;1,00E3;-5,8;20,00;3,0;3,0;38,78;0,01;0,001;0,0;0,00;0,049
9;08.08.2023;15:13:49;00:00:08;250,0;20,0;19,5;18,6;19,8;20,0;0,0;966,5;9,66E2;-36,7;20,00;3,0;3,0;38,78;0,01;0,001;0,0;0,01;0,049
10;08.08.2023;15:13:50;00:00:09;250,0;20,0;19,5;18,6;19,8;20,0;0,0;916,9;9,17E2;-85,2;20,00;3,0;3,0;38,78;0,01;0,000;0,0;0,01;0,049
11;08.08.2023;15:13:51;00:00:10;250,0;20,0;19,5;18,6;19,8;20,0;0,0;892,6;8,93E2;-107,8;20,00;3,0;3,0;38,78;0,01;0,000;0,0;0,00;0,049
12;08.08.2023;15:13:52;00:00:11;250,0;19,9;19,5;18,6;19,9;20,0;0,0;849,6;8,50E2;-153,4;20,00;3,0;3,0;38,78;0,02;0,007;0,0;0,00;0,049
13;08.08.2023;15:13:53;00:00:12;250,0;19,9;19,5;18,6;19,9;20,0;0,0;807,6;8,08E2;-196,2;20,00;3,0;3,0;38,78;0,02;0,028;0,0;0,00;0,049
14;08.08.2023;15:13:54;00:00:13;250,0;19,8;19,5;18,5;19,9;20,0;0,0;790,9;7,91E2;-212,9;20,00;3,0;3,0;38,78;0,02;0,040;0,0;0,00;0,049
15;08.08.2023;15:13:55;00:00:14;250,0;19,8;19,5;18,4;19,9;20,0;0,0;757,2;7,57E2;-247,1;20,00;3,0;3,0;38,78;0,02;0,057;0,0;0,01;0,049
16;08.08.2023;15:13:56;00:00:15;250,0;19,7;19,5;18,4;19,9;20,0;0,0;741,2;7,41E2;-262,1;20,00;3,0;3,0;38,78;0,02;0,061;0,0;0,01;0,049
17;08.08.2023;15:13:57;00:00:16;250,0;19,7;19,5;18,4;19,9;20,0;0,0;710,2;7,10E2;-293,7;20,00;3,0;3,0;38,79;0,02;0,068;0,0;0,01;0,049
18;08.08.2023;15:13:58;00:00:17;250,0;19,7;19,5;18,2;19,9;20,0;0,0;682,3;6,82E2;-321,2;20,00;3,0;3,0;38,79;0,02;0,064;0,0;0,00;0,049
19;08.08.2023;15:13:59;00:00:18;250,0;19,7;19,5;18,2;19,7;20,0;0,0;667,9;6,68E2;-334,2;20,00;3,0;3,0;38,79;0,02;0,061;0,0;0,01;0,049
20;08.08.2023;15:14:00;00:00:19;250,0;19,4;19,3;17,7;19,7;20,0;0,0;639,5;6,40E2;-363,9;20,00;3,0;3,0;38,79;0,02;0,058;0,0;0,01;0,049
21;08.08.2023;15:14:01;00:00:20;250,0;19,4;19,3;17,7;19,7;20,0;0,0;614,1;6,14E2;-390,0;20,00;3,0;3,0;38,79;0,03;0,054;0,0;0,01;0,049
22;08.08.2023;15:14:02;00:00:21;250,0;19,4;19,3;17,3;19,8;20,0;0,0;602,1;6,02E2;-401,6;20,00;3,0;3,0;38,79;0,03;0,051;0,0;0,01;0,049
23;08.08.2023;15:14:03;00:00:22;250,0;19,4;19,3;17,3;19,8;20,0;0,0;577,3;5,77E2;-425,9;20,00;3,0;3,0;38,79;0,03;0,052;0,0;0,01;0,049
24;08.08.2023;15:14:04;00:00:23;250,0;19,3;19,3;16,8;19,8;20,0;0,0;554,6;5,55E2;-447,5;20,00;3,0;3,0;38,79;0,03;0,050;0,0;0,01;0,049
25;08.08.2023;15:14:05;00:00:24;250,0;19,3;19,3;16,8;19,8;20,0;0,0;544,4;5,44E2;-459,6;20,00;3,0;3,0;38,79;0,03;0,048;0,0;0,00;0,049
26;08.08.2023;15:14:06;00:00:25;250,0;19,2;19,3;16,2;19,8;20,0;0,0;521,0;5,21E2;-481,3;20,00;3,0;3,0;38,79;0,03;0,044;0,0;0,01;0,049
27;08.08.2023;15:14:07;00:00:26;250,0;19,2;19,3;16,2;19,8;20,0;0,0;511,1;5,11E2;-492,6;20,00;3,0;3,0;38,79;0,03;0,046;0,0;0,00;0,049
28;08.08.2023;15:14:08;00:00:27;250,0;19,2;19,3;15,7;19,8;20,0;0,0;491,1;4,91E2;-511,4;20,00;3,0;3,0;38,79;0,03;0,041;0,0;0,01;0,049
29;08.08.2023;15:14:09;00:00:28;250,0;19,1;19,3;15,7;19,8;20,0;0,0;471,9;4,72E2;-531,0;20,00;3,0;3,0;38,80;0,03;0,039;0,0;0,00;0,049
30;08.08.2023;15:14:10;00:00:29;250,0;19,1;19,3;15,2;19,8;20,0;0,0;462,7;4,63E2;-539,7;20,00;3,0;3,0;38,80;0,03;0,042;0,0;0,00;0,049
31;08.08.2023;15:14:11;00:00:30;250,0;19,1;19,3;15,2;19,8;20,0;0,0;444,6;4,45E2;-541,2;20,00;3,0;2,9;38,80;0,03;0,041;0,0;0,01;0,049
32;08.08.2023;15:14:12;00:00:31;250,0;19,0;19,3;14,7;19,8;20,0;0,0;425,6;4,26E2;-541,2;20,00;3,0;3,0;38,80;0,03;0,035;0,0;0,01;0,049
33;08.08.2023;15:14:13;00:00:32;250,0;19,0;19,3;14,3;19,8;20,0;0,0;418,0;4,18E2;-541,2;20,00;3,0;3,0;38,80;0,03;0,036;0,0;0,00;0,049
34;08.08.2023;15:14:14;00:00:33;250,0;19,0;19,3;14,3;19,8;20,0;0,0;402,0;4,02E2;-541,2;20,00;3,0;3,0;38,80;0,03;0,035;0,0;0,00;0,049
35;08.08.2023;15:14:15;00:00:34;250,0;18,9;19,3;13,8;19,8;20,0;0,0;386,2;3,86E2;-541,2;20,00;3,0;3,0;38,80;0,03;0,036;0,0;0,00;0,049
36;08.08.2023;15:14:16;00:00:35;250,0;18,9;19,3;13,8;19,8;20,0;0,0;378,8;3,79E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,031;0,0;0,00;0,049
37;08.08.2023;15:14:17;00:00:36;250,0;18,9;19,3;13,4;19,8;20,0;0,0;363,9;3,64E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,031;0,0;0,00;0,049
38;08.08.2023;15:14:18;00:00:37;250,0;18,9;19,3;13,2;19,8;20,0;0,0;348,8;3,49E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,029;0,0;0,00;0,049
39;08.08.2023;15:14:19;00:00:38;250,0;18,7;19,3;13,2;19,7;20,0;0,0;341,9;3,42E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,030;0,0;0,00;0,049
40;08.08.2023;15:14:20;00:00:39;250,0;18,7;19,1;12,8;19,7;20,0;0,0;328,7;3,29E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,029;0,0;0,01;0,049
41;08.08.2023;15:14:21;00:00:40;250,0;18,7;19,1;12,8;19,7;20,0;0,0;322,5;3,22E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,026;0,0;0,00;0,049
42;08.08.2023;15:14:22;00:00:41;250,0;18,6;19,1;12,4;19,7;20,0;0,0;310,0;3,10E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,033;0,0;0,01;0,049
43;08.08.2023;15:14:23;00:00:42;250,0;18,6;19,1;12,1;19,7;20,0;0,0;297,9;2,98E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,030;0,0;0,00;0,049
44;08.08.2023;15:14:24;00:00:43;250,0;18,6;19,1;12,1;19,7;20,0;0,0;291,2;2,91E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,033;0,0;0,01;0,049
45;08.08.2023;15:14:25;00:00:44;250,0;18,6;19,1;12,1;19,7;20,0;0,0;279,7;2,80E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,030;0,0;0,00;0,049
46;08.08.2023;15:14:26;00:00:45;250,0;18,6;19,1;11,8;19,7;20,0;0,0;269,2;2,69E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,027;0,0;0,00;0,049
47;08.08.2023;15:14:27;00:00:46;250,0;18,6;19,1;11,8;19,7;20,0;0,0;263,8;2,64E2;-541,2;20,00;3,0;3,0;38,80;0,04;0,026;0,0;0,01;0,049
48;08.08.2023;15:14:28;00:00:47;250,0;18,5;19,1;11,6;19,7;20,0;0,0;253,7;2,54E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,026;0,0;0,00;0,049
49;08.08.2023;15:14:29;00:00:48;250,0;18,5;19,1;11,4;19,7;20,0;0,0;243,8;2,44E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,030;0,0;0,01;0,049
50;08.08.2023;15:14:30;00:00:49;250,0;18,5;19,1;11,4;19,8;20,0;0,0;238,4;2,38E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,028;0,0;0,01;0,049
51;08.08.2023;15:14:31;00:00:50;250,0;18,5;19,1;11,3;19,8;20,0;0,0;229,1;2,29E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,026;0,0;0,00;0,049
52;08.08.2023;15:14:32;00:00:51;250,0;18,5;19,1;11,3;19,8;20,0;0,0;220,5;2,20E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,029;0,0;0,00;0,049
53;08.08.2023;15:14:33;00:00:52;250,0;18,5;19,1;11,2;19,8;20,0;0,0;216,0;2,16E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,029;0,0;0,00;0,049
54;08.08.2023;15:14:34;00:00:53;250,0;18,5;19,1;11,2;19,8;20,0;0,0;207,6;2,08E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,020;0,0;0,00;0,049
55;08.08.2023;15:14:35;00:00:54;250,0;18,5;19,1;11,2;19,8;20,0;0,0;203,5;2,04E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,020;0,0;0,00;0,049
56;08.08.2023;15:14:36;00:00:55;250,0;18,4;19,1;11,1;19,8;20,0;0,0;195,4;1,95E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,020;0,0;0,01;0,049
57;08.08.2023;15:14:37;00:00:56;250,0;18,4;19,1;11,1;19,8;20,0;0,0;187,8;1,88E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,020;0,0;0,00;0,049
58;08.08.2023;15:14:38;00:00:57;250,0;18,4;19,1;11,1;19,8;20,0;0,0;184,1;1,84E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,020;0,0;0,01;0,049
59;08.08.2023;15:14:39;00:00:58;250,0;18,2;19,0;11,1;19,6;20,0;0,0;177,1;1,77E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,019;0,0;0,01;0,049
60;08.08.2023;15:14:40;00:00:59;250,0;18,2;19,0;10,9;19,6;20,0;0,0;170,4;1,70E2;-541,2;20,00;3,0;3,0;38,81;0,04;0,017;0,0;0,01;0,049
61;08.08.2023;15:14:41;00:01:00;250,0;18,2;19,0;10,9;19,6;20,0;0,0;163,0;1,63E2;-541,2;20,00;3,0;3,0;38,81;0,05;0,017;0,0;0,00;0,049
62;08.08.2023;15:14:42;00:01:01;250,0;18,2;19,0;10,9;19,6;20,0;0,0;148,8;1,49E2;-541,2;20,00;3,0;3,0;38,81;0,05;0,015;0,0;0,00;0,049
63;08.08.2023;15:14:43;00:01:02;250,0;18,2;18,9;10,9;19,6;20,0;0,0;137,1;1,37E2;-541,2;20,00;3,0;3,0;38,81;0,05;0,026;0,0;0,00;0,049
64;08.08.2023;15:14:44;00:01:03;250,0;18,2;18,9;10,9;19,6;20,0;0,0;131,7;1,32E2;-541,2;20,00;3,0;3,0;38,81;0,05;0,027;0,0;0,00;0,049
65;08.08.2023;15:14:45;00:01:04;250,0;18,1;18,9;10,9;19,6;20,0;0,0;122,0;1,22E2;-541,2;20,00;3,0;3,0;38,81;0,05;0,027;0,0;0,00;0,049
66;08.08.2023;15:14:46;00:01:05;250,0;18,1;18,9;10,9;19,7;20,0;0,0;117,4;1,17E2;-541,2;20,00;3,0;3,0;38,81;0,05;0,024;0,0;0,01;0,049
67;08.08.2023;15:14:47;00:01:06;250,0;18,1;18,9;10,9;19,7;20,0;0,0;108,8;1,09E2;-541,2;20,00;3,0;3,0;38,81;0,05;0,023;0,0;0,00;0,049
68;08.08.2023;15:14:48;00:01:07;250,0;18,1;19,0;10,9;19,7;20,0;0,0;100,2;1,00E2;-541,2;20,00;3,0;3,0;38,81;0,05;0,017;0,0;0,01;0,049
69;08.08.2023;15:14:49;00:01:08;250,0;18,1;19,0;10,9;19,7;20,0;0,0;96,5;9,65E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,018;0,0;0,01;0,049
70;08.08.2023;15:14:50;00:01:09;250,0;18,1;19,0;11,0;19,7;20,0;0,0;89,5;8,95E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,019;0,0;0,01;0,049
71;08.08.2023;15:14:51;00:01:10;250,0;18,1;19,0;11,0;19,7;20,0;0,0;83,1;8,31E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,018;0,0;0,01;0,049
72;08.08.2023;15:14:52;00:01:11;250,0;18,1;19,0;11,0;19,7;20,0;0,0;80,1;8,01E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,017;0,0;0,01;0,049
73;08.08.2023;15:14:53;00:01:12;250,0;18,1;19,0;11,0;19,7;20,0;0,0;74,3;7,43E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,021;0,0;0,00;0,049
74;08.08.2023;15:14:54;00:01:13;250,0;18,1;19,0;11,0;19,7;20,0;0,0;68,3;6,83E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,019;0,0;0,01;0,049
75;08.08.2023;15:14:55;00:01:14;250,0;18,1;19,0;11,0;19,7;20,0;0,0;65,7;6,57E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,019;0,0;0,00;0,049
76;08.08.2023;15:14:56;00:01:15;250,0;18,1;19,0;11,0;19,7;20,0;0,0;60,9;6,09E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,015;0,0;0,01;0,049
77;08.08.2023;15:14:57;00:01:16;250,0;18,0;19,0;11,0;19,7;20,0;0,0;56,1;5,61E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,014;0,0;0,01;0,049
78;08.08.2023;15:14:58;00:01:17;250,0;18,0;19,0;11,0;19,7;20,0;0,0;54,1;5,41E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,011;0,0;0,00;0,049
79;08.08.2023;15:14:59;00:01:18;250,0;17,9;18,8;10,9;19,6;20,0;0,0;50,1;5,01E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,011;0,0;0,01;0,049
80;08.08.2023;15:15:00;00:01:19;250,0;17,9;18,8;10,9;19,6;20,0;0,0;48,2;4,82E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,009;0,0;0,00;0,049
81;08.08.2023;15:15:01;00:01:20;250,0;17,9;18,8;10,9;19,6;20,0;0,0;44,4;4,44E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,007;0,0;0,00;0,049
82;08.08.2023;15:15:02;00:01:21;250,0;17,9;18,8;11,0;19,6;20,0;0,0;41,3;4,13E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,008;0,0;0,01;0,049
83;08.08.2023;15:15:03;00:01:22;250,0;17,9;18,8;11,0;19,6;20,0;0,0;39,6;3,96E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,010;0,0;0,01;0,049
84;08.08.2023;15:15:04;00:01:23;250,0;17,9;18,8;11,1;19,6;20,0;0,0;36,7;3,67E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,007;0,0;0,00;0,049
85;08.08.2023;15:15:05;00:01:24;250,0;17,9;18,8;11,2;19,6;20,0;0,0;34,1;3,41E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,007;0,0;0,00;0,049
86;08.08.2023;15:15:06;00:01:25;250,0;17,9;18,8;11,2;19,6;20,0;0,0;32,8;3,28E1;-541,2;20,00;3,0;3,0;38,81;0,05;0,009;0,0;0,01;0,049
87;08.08.2023;15:15:07;00:01:26;250,0;17,9;18,8;11,2;19,6;20,0;0,0;30,1;3,01E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,012;0,0;0,01;0,049
88;08.08.2023;15:15:08;00:01:27;250,0;17,9;18,8;11,3;19,6;20,0;0,0;27,8;2,78E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,013;0,0;0,01;0,049
89;08.08.2023;15:15:09;00:01:28;250,0;17,8;18,8;11,4;19,6;20,0;0,0;26,8;2,68E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,012;0,0;0,00;0,049
90;08.08.2023;15:15:10;00:01:29;250,0;17,8;18,8;11,4;19,7;20,0;0,0;24,9;2,49E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,010;0,0;0,00;0,049
91;08.08.2023;15:15:11;00:01:30;250,0;17,8;18,8;11,5;19,7;20,0;0,0;22,9;2,29E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,007;0,0;0,01;0,049
92;08.08.2023;15:15:12;00:01:31;250,0;17,8;18,8;11,5;19,7;20,0;0,0;22,0;2,20E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,006;0,0;0,01;0,049
93;08.08.2023;15:15:13;00:01:32;250,0;17,8;18,8;11,7;19,7;20,0;0,0;20,2;2,02E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,007;0,0;0,01;0,049
94;08.08.2023;15:15:14;00:01:33;250,0;17,8;18,8;11,7;19,7;20,0;0,0;19,6;1,96E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,006;0,0;0,01;0,049
95;08.08.2023;15:15:15;00:01:34;250,0;17,8;18,8;11,7;19,7;20,0;0,0;18,2;1,82E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,005;0,0;0,01;0,049
96;08.08.2023;15:15:16;00:01:35;250,0;17,8;18,8;11,8;19,7;20,0;0,0;16,7;1,67E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,009;0,0;0,00;0,049
97;08.08.2023;15:15:17;00:01:36;250,0;17,8;18,9;11,9;19,7;20,0;0,0;16,2;1,62E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,006;0,0;0,00;0,049
98;08.08.2023;15:15:18;00:01:37;250,0;17,8;18,9;11,9;19,7;20,0;0,0;14,9;1,49E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,004;0,0;0,01;0,049
99;08.08.2023;15:15:19;00:01:38;250,0;17,8;18,8;12,0;19,7;20,0;0,0;13,8;1,38E1;-541,2;20,00;3,0;3,1;38,82;0,05;0,003;0,0;0,00;0,049
100;08.08.2023;15:15:20;00:01:39;250,0;17,8;18,8;12,0;19,7;20,0;0,0;13,3;1,33E1;-541,2;20,00;3,0;3,1;38,82;0,05;0,007;0,0;0,01;0,049
101;08.08.2023;15:15:21;00:01:40;250,0;17,8;18,8;12,2;19,7;20,0;0,0;12,4;1,24E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,000;0,0;0,00;0,049
102;08.08.2023;15:15:22;00:01:41;250,0;17,8;18,8;12,2;19,7;20,0;0,0;11,4;1,14E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,002;0,0;0,01;0,049
103;08.08.2023;15:15:23;00:01:42;250,0;17,8;18,8;12,2;19,7;20,0;0,0;11,0;1,10E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,003;0,0;0,01;0,049
104;08.08.2023;15:15:24;00:01:43;250,0;17,8;18,8;12,3;19,7;20,0;0,0;10,3;1,03E1;-541,2;20,00;3,0;3,0;38,82;0,05;0,004;0,0;0,00;0,049
105;08.08.2023;15:15:25;00:01:44;250,0;17,8;18,8;12,3;19,7;20,0;0,0;9,6;9,56E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,003;0,0;0,01;0,049
106;08.08.2023;15:15:26;00:01:45;250,0;17,8;18,8;12,5;19,7;20,0;0,0;8,8;8,77E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,003;0,0;0,01;0,049
107;08.08.2023;15:15:27;00:01:46;250,0;17,8;18,8;12,6;19,7;20,0;0,0;7,6;7,55E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,008;0,0;0,00;0,049
108;08.08.2023;15:15:28;00:01:47;250,0;17,8;18,8;12,6;19,7;20,0;0,0;7,3;7,29E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,007;0,0;0,01;0,049
109;08.08.2023;15:15:29;00:01:48;250,0;17,8;18,8;12,7;19,7;20,0;0,0;6,7;6,73E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,005;0,0;0,00;0,049
110;08.08.2023;15:15:30;00:01:49;250,0;17,8;18,8;12,7;19,7;20,0;0,0;6,2;6,15E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,002;0,0;0,00;0,049
111;08.08.2023;15:15:31;00:01:50;250,0;17,8;18,8;12,7;19,7;20,0;0,0;5,8;5,79E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,002;0,0;0,00;0,049
112;08.08.2023;15:15:32;00:01:51;250,0;17,8;18,8;12,9;19,7;20,0;0,0;5,3;5,32E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,001;0,0;0,00;0,049
113;08.08.2023;15:15:33;00:01:52;250,0;17,8;18,8;13,0;19,7;20,0;0,0;4,8;4,81E0;-541,2;20,00;3,0;2,9;38,82;0,05;0,000;0,0;0,01;0,049
114;08.08.2023;15:15:34;00:01:53;250,0;17,8;18,8;13,0;19,7;20,0;0,0;4,6;4,58E0;-541,2;20,00;3,0;2,9;38,82;0,05;-0,001;0,0;0,00;0,049
115;08.08.2023;15:15:35;00:01:54;250,0;17,8;18,8;13,0;19,7;20,0;0,0;4,3;4,27E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,003;0,0;0,01;0,049
116;08.08.2023;15:15:36;00:01:55;250,0;17,8;18,8;13,1;19,8;20,0;0,0;4,0;4,00E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,002;0,0;0,00;0,049
117;08.08.2023;15:15:37;00:01:56;250,0;17,8;18,9;13,3;19,8;20,0;0,0;3,7;3,74E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,002;0,0;0,00;0,049
118;08.08.2023;15:15:38;00:01:57;250,0;17,8;18,9;13,3;19,8;20,0;0,0;3,4;3,44E0;-541,2;20,00;3,0;2,9;38,82;0,05;0,002;0,0;0,01;0,049
119;08.08.2023;15:15:39;00:01:58;250,0;17,7;18,8;13,2;19,7;20,0;0,0;3,3;3,28E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,001;0,0;0,00;0,049
120;08.08.2023;15:15:40;00:01:59;250,0;17,7;18,7;13,3;19,7;20,0;0,0;3,0;3,00E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,004;0,0;0,01;0,049
121;08.08.2023;15:15:41;00:02:00;250,0;17,7;18,7;13,3;19,7;20,0;0,0;2,8;2,78E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,004;0,0;0,01;0,049
122;08.08.2023;15:15:42;00:02:01;250,0;17,7;18,7;13,4;19,7;20,0;0,0;2,7;2,71E0;-541,2;20,00;3,0;2,9;38,82;0,05;0,005;0,0;0,01;0,049
123;08.08.2023;15:15:43;00:02:02;250,0;17,7;18,7;13,4;19,7;20,0;0,0;2,6;2,55E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,005;0,0;0,00;0,049
124;08.08.2023;15:15:44;00:02:03;250,0;17,7;18,7;13,6;19,7;20,0;0,0;2,4;2,42E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,005;0,0;0,01;0,049
125;08.08.2023;15:15:45;00:02:04;250,0;17,7;18,7;13,7;19,7;20,0;0,0;2,3;2,30E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,006;0,0;0,00;0,049
126;08.08.2023;15:15:46;00:02:05;250,0;17,7;18,7;13,7;19,7;20,0;0,0;2,1;2,15E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,004;0,0;0,01;0,049
127;08.08.2023;15:15:47;00:02:06;250,0;17,7;18,7;13,8;19,7;20,0;0,0;2,0;2,02E0;-541,2;20,00;3,0;2,9;38,82;0,05;-0,001;0,0;0,01;0,049
128;08.08.2023;15:15:48;00:02:07;250,0;17,7;18,7;13,8;19,7;20,0;0,0;1,9;1,95E0;-541,2;20,00;3,0;3,0;38,82;0,05;-0,001;0,0;0,00;0,049
129;08.08.2023;15:15:49;00:02:08;250,0;17,7;18,7;13,9;19,7;20,0;0,0;1,8;1,83E0;-541,2;20,00;3,0;3,0;38,82;0,06;0,002;0,0;0,00;0,049
130;08.08.2023;15:15:50;00:02:09;250,0;17,7;18,8;13,9;19,7;20,0;0,0;1,8;1,77E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,000;0,0;0,00;0,049
131;08.08.2023;15:15:51;00:02:10;250,0;17,7;18,8;13,9;19,7;20,0;0,0;1,7;1,69E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,003;0,0;0,01;0,049
132;08.08.2023;15:15:52;00:02:11;250,0;17,7;18,8;14,0;19,7;20,0;0,0;1,6;1,63E0;-541,2;20,00;3,0;3,1;38,82;0,05;0,005;0,0;0,01;0,049
133;08.08.2023;15:15:53;00:02:12;250,0;17,7;18,8;14,1;19,7;20,0;0,0;1,6;1,58E0;-541,2;20,00;3,0;3,1;38,82;0,06;0,000;0,0;0,01;0,049
134;08.08.2023;15:15:54;00:02:13;250,0;17,7;18,8;14,1;19,7;20,0;0,0;1,5;1,50E0;-541,2;20,00;3,0;3,1;38,82;0,06;0,005;0,0;0,01;0,049
135;08.08.2023;15:15:55;00:02:14;250,0;17,7;18,8;14,2;19,7;20,0;0,0;1,4;1,43E0;-541,2;20,00;3,0;3,0;38,82;0,06;0,000;0,0;0,01;0,049
136;08.08.2023;15:15:56;00:02:15;250,0;17,7;18,8;14,2;19,7;20,0;0,0;1,4;1,39E0;-541,2;20,00;3,0;3,0;38,82;0,05;0,002;0,0;0,01;0,049
137;08.08.2023;15:15:57;00:02:16;250,0;17,7;18,8;14,3;19,8;20,0;0,0;1,3;1,34E0;-541,2;20,00;3,0;3,0;38,82;0,06;0,002;0,0;0,00;0,049
